budget,homepage,movie_id,movie_status,popularity,release_date,release_year,revenue,runtime,tagline,title,vote_average,vote_count
30000000,null,36593,Released,28.624039,1994-03-18,1994,51132598,83,A Mad Bomber is on the Loose, and If Anyone Can Stop Him....So Can Frank!,The Naked Gun 33⅓: The Final Insult,6.3,521
10000000,null,27322,Released,1.000178,1997-03-14,1997,0,104,Get Together. Fall Apart. Start Over.,Love Jones,8.1,12
0,null,13187,Released,8.701183,1965-12-09,1965,0,25,That's what Christmas is all about, Charlie Brown!,A Charlie Brown Christmas,7.5,153
0,null,9893,Released,5.842299,2004-07-09,2004,0,89,The rules are set. The game is on.,Sleepover,5.3,101
11000000,null,1590,Released,5.062687,2006-09-10,2006,0,104,null,Copying Beethoven,6.2,42
0,null,15208,Released,2.500218,2008-07-04,2008,0,141,null,Bathory,5.6,31
87000000,http://www.seabiscuitmovie.com/,4464,Released,14.824166,2003-07-22,2003,148336445,141,The hopes of a nation rode on a long shot.,Seabiscuit,6.7,216
85000000,http://www.welcometohotelt.com,76492,Released,56.257412,2012-09-20,2012,358375603,91,Where monsters go to get away from it all,Hotel Transylvania,6.8,2566
63000000,http://www.foxmovies.com/movies/fight-club,550,Released,146.75739,1999-10-15,1999,100853753,139,Mischief. Mayhem. Soap.,Fight Club,8.3,9413
17000000,http://www.cbsfilms.com/love-the-coopers/,333348,Released,9.191187,2015-11-12,2015,24000000,107,Christmas means comfort, joy and chaos.,Love the Coopers,5.4,167
13200000,http://www.sonypictures.com/movies/nogooddeed/,136835,Released,24.656069,2014-09-10,2014,53830415,83,First he gets into your house. Then he gets into your head.,No Good Deed,5.6,181
45000000,null,88751,Released,53.090424,2008-07-10,2008,101702060,93,Same Planet. Different World.,Journey to the Center of the Earth,5.8,1309
27000000,null,79698,Released,2.418535,2015-02-13,2015,0,109,Love is longer than life.,The Lovers,4.8,34
2500000,null,24748,Released,6.82919,1963-05-29,1963,10000000,112,The man with the barbed-wire soul.,Hud,7.5,66
0,http://www.theluckyonesmovie.com/,16005,Released,8.747922,2008-09-26,2008,0,113,null,The Lucky Ones,6.3,55
0,null,10413,Released,11.689337,1993-01-15,1993,0,94,When the law can't protect the innocent,  the only hero left is an outlaw.,Nowhere to Run,5.5,119
